Jun  9 03:25:01 Cmarshall CRON[2419]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 03:25:08 Cmarshall CRON[2419]: pam_unix(cron:session): session closed for user root
Jun  9 03:30:01 Cmarshall CRON[2453]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 03:30:03 Cmarshall CRON[2453]: pam_unix(cron:session): session closed for user root
Jun  9 03:35:01 Cmarshall CRON[2487]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 03:35:08 Cmarshall CRON[2487]: pam_unix(cron:session): session closed for user root
Jun  9 03:40:01 Cmarshall CRON[2521]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 03:40:07 Cmarshall CRON[2521]: pam_unix(cron:session): session closed for user root
Jun  9 03:45:01 Cmarshall CRON[2561]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 03:45:07 Cmarshall CRON[2561]: pam_unix(cron:session): session closed for user root
Jun  9 03:50:01 Cmarshall CRON[2596]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 03:50:08 Cmarshall CRON[2596]: pam_unix(cron:session): session closed for user root
Jun  9 03:55:01 Cmarshall CRON[2629]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 03:55:08 Cmarshall CRON[2629]: pam_unix(cron:session): session closed for user root
Jun  9 04:00:02 Cmarshall CRON[2664]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 04:00:03 Cmarshall CRON[2664]: pam_unix(cron:session): session closed for user root
Jun  9 04:05:01 Cmarshall CRON[2698]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 04:05:08 Cmarshall CRON[2698]: pam_unix(cron:session): session closed for user root
Jun  9 04:10:01 Cmarshall CRON[2733]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 04:10:09 Cmarshall CRON[2733]: pam_unix(cron:session): session closed for user root
Jun  9 04:15:01 Cmarshall CRON[2766]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 04:15:07 Cmarshall CRON[2766]: pam_unix(cron:session): session closed for user root
Jun  9 04:17:01 Cmarshall CRON[2797]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 04:17:01 Cmarshall CRON[2797]: pam_unix(cron:session): session closed for user root
Jun  9 04:20:01 Cmarshall CRON[2803]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 04:20:07 Cmarshall CRON[2803]: pam_unix(cron:session): session closed for user root
Jun  9 04:25:01 Cmarshall CRON[2839]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 04:25:07 Cmarshall CRON[2839]: pam_unix(cron:session): session closed for user root
Jun  9 04:30:01 Cmarshall CRON[2873]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 04:30:03 Cmarshall CRON[2873]: pam_unix(cron:session): session closed for user root
Jun  9 04:35:01 Cmarshall CRON[2906]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 04:35:07 Cmarshall CRON[2906]: pam_unix(cron:session): session closed for user root
Jun  9 04:40:01 Cmarshall CRON[2941]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 04:40:09 Cmarshall CRON[2941]: pam_unix(cron:session): session closed for user root
Jun  9 04:45:01 Cmarshall CRON[2974]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 04:45:07 Cmarshall CRON[2974]: pam_unix(cron:session): session closed for user root
Jun  9 04:50:01 Cmarshall CRON[3009]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 04:50:07 Cmarshall CRON[3009]: pam_unix(cron:session): session closed for user root
Jun  9 04:55:01 Cmarshall CRON[3042]: pam_unix(cron:session): session opened for user root by (uid=0)
Jun  9 04:55:09 Cmarshall CRON[3042]: pam_unix(cron:session): session closed for user root
Jun  9 05:00:01 Cmarshall CRON[3076]: pam_unix(cron:session): session opened for user root by (uid=0)
